max-step-size,evaporation-rate,population,max-turn-angle,diffusion-rate,ticks
4.0,100.0,100.0,60.0,100.0,204
4.0,100.0,100.0,60.0,100.0,226
4.0,100.0,100.0,60.0,100.0,309
4.0,100.0,100.0,60.0,100.0,276
4.0,100.0,100.0,60.0,100.0,245
4.0,100.0,100.0,60.0,100.0,173
4.0,100.0,100.0,60.0,100.0,189
4.0,100.0,100.0,60.0,100.0,232
4.0,100.0,100.0,60.0,10.0,222
4.0,100.0,100.0,60.0,10.0,181
4.0,100.0,100.0,60.0,10.0,285
4.0,100.0,100.0,60.0,10.0,194
4.0,100.0,100.0,60.0,10.0,186
4.0,100.0,100.0,60.0,10.0,249
4.0,100.0,100.0,60.0,10.0,249
4.0,100.0,100.0,60.0,10.0,218
4.0,100.0,100.0,60.0,10.0,199
4.0,100.0,100.0,60.0,10.0,187
4.0,100.0,100.0,60.0,10.0,258
4.0,100.0,100.0,60.0,10.0,206
4.0,100.0,100.0,60.0,10.0,223
4.0,100.0,100.0,60.0,10.0,192
4.0,100.0,100.0,60.0,10.0,222
4.0,100.0,100.0,60.0,10.0,169
4.0,100.0,100.0,60.0,10.0,197
4.0,100.0,100.0,60.0,10.0,183
4.0,100.0,100.0,60.0,10.0,341
4.0,100.0,100.0,60.0,10.0,271
4.0,100.0,100.0,60.0,100.0,159
4.0,100.0,100.0,60.0,100.0,235
4.0,100.0,100.0,60.0,100.0,199
4.0,100.0,100.0,60.0,100.0,192
4.0,100.0,100.0,60.0,100.0,184
4.0,100.0,100.0,60.0,100.0,199
4.0,100.0,100.0,60.0,100.0,244
4.0,100.0,100.0,60.0,100.0,205
4.0,100.0,100.0,60.0,100.0,278
4.0,100.0,100.0,60.0,100.0,210
4.0,100.0,100.0,120.0,10.0,219
4.0,100.0,100.0,120.0,10.0,216
4.0,100.0,100.0,120.0,10.0,214
4.0,100.0,100.0,120.0,10.0,248
4.0,100.0,100.0,120.0,10.0,225
4.0,100.0,100.0,120.0,10.0,290
4.0,100.0,100.0,120.0,10.0,236
4.0,100.0,100.0,120.0,10.0,304
4.0,100.0,100.0,120.0,10.0,232
4.0,100.0,100.0,120.0,10.0,239
4.0,100.0,100.0,120.0,10.0,274
4.0,100.0,100.0,120.0,10.0,213
4.0,100.0,100.0,120.0,10.0,176
4.0,100.0,100.0,120.0,10.0,326
4.0,100.0,100.0,120.0,10.0,203
4.0,100.0,100.0,120.0,10.0,218
4.0,100.0,100.0,120.0,10.0,168
4.0,100.0,100.0,120.0,10.0,247
4.0,100.0,100.0,120.0,10.0,207
4.0,100.0,100.0,120.0,10.0,254
4.0,100.0,100.0,120.0,100.0,196
4.0,100.0,100.0,120.0,100.0,368
4.0,100.0,100.0,120.0,100.0,196
4.0,100.0,100.0,120.0,100.0,242
4.0,100.0,100.0,120.0,100.0,433
4.0,100.0,100.0,120.0,100.0,196
4.0,100.0,100.0,120.0,100.0,199
4.0,100.0,100.0,120.0,100.0,195
4.0,100.0,100.0,120.0,100.0,247
4.0,100.0,100.0,120.0,100.0,148
8.0,10.0,50.0,60.0,10.0,372
8.0,10.0,50.0,60.0,10.0,277
8.0,10.0,50.0,60.0,10.0,372
8.0,10.0,50.0,60.0,10.0,321
8.0,10.0,50.0,60.0,10.0,386
8.0,10.0,50.0,60.0,10.0,290
8.0,10.0,50.0,60.0,10.0,308
8.0,10.0,50.0,60.0,10.0,261
8.0,10.0,50.0,60.0,10.0,364
8.0,10.0,50.0,60.0,10.0,258
8.0,10.0,50.0,60.0,10.0,263
8.0,10.0,50.0,60.0,10.0,293
8.0,10.0,50.0,60.0,10.0,303
8.0,10.0,50.0,60.0,10.0,273
8.0,10.0,50.0,60.0,10.0,271
8.0,10.0,50.0,60.0,10.0,303
8.0,10.0,50.0,60.0,10.0,316
8.0,10.0,50.0,60.0,10.0,285
8.0,10.0,50.0,60.0,10.0,366
8.0,10.0,50.0,60.0,10.0,233
8.0,10.0,50.0,60.0,100.0,396
8.0,10.0,50.0,60.0,100.0,303
8.0,10.0,50.0,60.0,100.0,224
8.0,10.0,50.0,60.0,100.0,283
8.0,10.0,50.0,60.0,100.0,500
8.0,10.0,50.0,60.0,100.0,310
8.0,10.0,50.0,60.0,100.0,245
8.0,10.0,50.0,60.0,100.0,273
8.0,10.0,50.0,60.0,100.0,251
8.0,10.0,50.0,60.0,100.0,223
8.0,10.0,50.0,60.0,10.0,363
8.0,10.0,50.0,60.0,10.0,373
8.0,10.0,50.0,60.0,10.0,382
8.0,10.0,50.0,60.0,10.0,337
8.0,10.0,50.0,60.0,10.0,351
8.0,10.0,50.0,60.0,10.0,259
8.0,10.0,50.0,60.0,10.0,380
8.0,10.0,50.0,60.0,10.0,270
8.0,10.0,50.0,60.0,10.0,299
8.0,10.0,50.0,60.0,10.0,253
8.0,10.0,50.0,60.0,10.0,436
8.0,10.0,50.0,60.0,10.0,338
8.0,10.0,50.0,60.0,10.0,333
8.0,10.0,50.0,60.0,10.0,369
8.0,10.0,50.0,60.0,10.0,338
8.0,10.0,50.0,60.0,10.0,271
8.0,10.0,50.0,60.0,10.0,285
8.0,10.0,50.0,60.0,10.0,292
8.0,10.0,50.0,60.0,10.0,279
8.0,10.0,50.0,60.0,10.0,305
8.0,10.0,50.0,60.0,100.0,367
8.0,10.0,50.0,60.0,100.0,292
8.0,10.0,50.0,60.0,100.0,280
8.0,10.0,50.0,60.0,100.0,443
8.0,10.0,50.0,60.0,100.0,266
8.0,10.0,50.0,60.0,100.0,278
8.0,10.0,50.0,60.0,100.0,260
8.0,10.0,50.0,60.0,100.0,402
8.0,10.0,50.0,60.0,100.0,243
8.0,10.0,50.0,60.0,100.0,240
8.0,10.0,50.0,120.0,10.0,383
8.0,10.0,50.0,120.0,10.0,359
8.0,10.0,50.0,120.0,10.0,370
8.0,10.0,50.0,120.0,10.0,365
8.0,10.0,50.0,120.0,10.0,366
8.0,10.0,50.0,120.0,10.0,281
8.0,10.0,50.0,120.0,10.0,314
8.0,10.0,50.0,120.0,10.0,426
8.0,10.0,50.0,120.0,10.0,358
8.0,10.0,50.0,120.0,10.0,306
8.0,10.0,50.0,120.0,10.0,319
8.0,10.0,50.0,120.0,10.0,359
8.0,10.0,50.0,120.0,10.0,387
8.0,10.0,50.0,120.0,10.0,329
8.0,10.0,50.0,120.0,10.0,294
8.0,10.0,50.0,120.0,10.0,394
8.0,10.0,50.0,120.0,10.0,267
8.0,10.0,50.0,120.0,10.0,378
8.0,10.0,50.0,120.0,10.0,306
8.0,10.0,50.0,120.0,10.0,316
8.0,10.0,50.0,120.0,100.0,336
8.0,10.0,50.0,120.0,100.0,279
8.0,10.0,50.0,120.0,100.0,326
8.0,10.0,50.0,120.0,100.0,398
8.0,10.0,50.0,120.0,100.0,327
8.0,10.0,50.0,120.0,100.0,250
8.0,10.0,50.0,120.0,100.0,343
8.0,10.0,50.0,120.0,100.0,395
8.0,10.0,50.0,120.0,100.0,547
